Site;Context;Horizon;Number of sherds;Decor 1;Decor 2;Decor 3;Decor 4;Decor5;Decor6;;;;;;;;;;;;;;;
TOG2;42;;3;erod;;;;;;;;;;;;;;;;;;;;
TOG2;42;;1;PFR1;;;;;;;;;;;;;;;;;;;;
TOG2;42;;2;rso;;;;;;;;;;;;;;;;;;;;
TOG2;42;;3;cr6;;;;;;;;;;;;;;;;;;;;
TOG2;42;;1;cr?;;;;;;;;;;;;;;;;;;;;
TOG2;42;;2;vpr;;;;;;;;;;;;;;;;;;;;
TOG2;42;;3;rough;;;;;;;;;;;;;;;;;;;;
TOG2;42;;14;cr4;;;;;;;;;;;;;;;;;;;;
TOG2;42;;1;vpr;si4;;;;;;;;;;;;;;;;;;;
TOG2;42;;1;rough;plain;;;;;;;;;;;;;;;;;;;
TOG2;42;;1;plain;cr4;;;;;;;;;;;;;;;;;;;
TOG2;42;;1;rso;ch;vpr;;;;;;;;;;;;;;;;;;
TOG2;42;;1;rso;ch;vpr;Si-triangles;red slip triangles;;;;;;;;;;;;;;;;
TOG2;43;;30;CR4;;;;;;;;;;;;;;;;;;;;
TOG2;43;;2;CR2;;;;;;;;;;;;;;;;;;;;
TOG2;43;;5;VPR;;;;;;;;;;;;;;;;;;;;
TOG2;43;;3;EROD;;;;;;;;;;;;;;;;;;;;
TOG2;43;;1;CR6;;;;;;;;;;;;;;;;;;;;
TOG2;43;;6;RSO;;;;;;;;;;;;;;;;;;;;
TOG2;43;;8;Plain;;;;;;;;;;;;;;;;;;;;
TOG2;43;;1;CR4;CH;;;;;;;;;;;;;;;;;;;
TOG2;43;;1;CR4;CH;;;;;;;;;;;;;;;;;;;
TOG2;43;;1;VPR;P-W;SI4;;;;;;;;;;;;;;;;;;
TOG2;43;;1;RSO;CH;P-W-L;CR2;;;;;;;;;;;;;;;;;
TOG2;43;;1;RSO;MCH;VPR;P-W;;;;;;;;;;;;;;;;;
TOG2;43;;1;PFR1;CH;;;;;;;;;;;;;;;;;;;
TOG2;43;;1;RSO;PA4;;;;;;;;;;;;;;;;;;;
TOG2;43;;1;RSO;PA3;VPR;;;;;;;;;;;;;;;;;;
