Site;Context;Horizon;Parts;MaxTh;MinTh;RimAngle;RimType;Diameter;Temper;Burnish;Slip;Motif1;Loc1;Motif2;Loc2;Motif3;Loc3;Motif4;Loc4;Type;;
TOG2;16;C;LNS;9;6;6;L2/F2;9;31;0;0;PLAIN;LNS;;;;;;;;;
TOG2;16;C;LNS;12;8;6;L2;N/A;31;0;0;PLAIN;LN;ROUGHENED;S;;;;;;;
TOG2;16;C;LN;13;8;2;S1;17;31;T/O;T/O;P-W-L;L;RSO;LNS;P-W-L;S;CH;S;;;
TOG2;16;C;LN;12;8;1;S1;15;31;T/O;T/O;RSO;LN;;;;;;;;;
TOG2;16;C;LNS;11;9;1;S1;N/A;31;LN;LN;RSO;LN;CH;S;CR2;S;;;;;
TOG2;16;C;LN;4;8;6;L2;17;31;T/O;T/O;RSO;LN;;;;;;;;;
TOG2;16;C;LN;24;11;2;XY4;N/A;31;L;L;;;;;;;;;;;
TOG2;17;D;LNSM;17;15;3;C6;20;31;LN;LN;CH;S;VPR;M;;;;;;;
TOG2;17;D;LNS;23;16;3;S1;36;32;0;NS;CH;S;CR4;S;;;;;;;
TOG2;17;D;LNS;12;10;4;S1;24;31;;LN;CH;N;CR4;S;;;;;;;
TOG2;17;D;LNSM;18;8;2;XY2;16;31;LN;LN;CR4;SM;;;;;;;;;
TOG2;17;D;LNS;15;6;1;XY3;26;31;L;LN;CR4;S;;;;;;;;;
TOG2;17;D;LNS;13;11;3;XY1;N/A;31;L;LN;CR4;S;;;;;;;;;
TOG2;17;D;LNS;49;39;3;N7;12;31;0;0;CR4;S;;;;;;;;;
TOG2;17;D;LNS;12;8;3;S1;18;31;LN;LN;CR4;S;;;;;;;;;
TOG2;17;D;LNS;13;10;2;S1;18;31;LN;LN;CR4;S;;;;;;;;;
TOG2;17;D;LNS;13;9;4;S1;20;31;;;EROD;S;;;;;;;;;
TOG2;17;D;LNS;12;9;2;S1;14;31;LN;LN;MCH;N;CH;S;PLAIN;LNS;;;;;
TOG2;17;D;LN;17;9;N/A;N7;N/A;31;T/O;T/O;PLAIN;LN;;;;;;;;;
TOG2;17;D;LNS;14;11;6;E90;26;31;0;L+INT;PLAIN;LN;ROUGHENED;S;;;;;;;
TOG2;17;D;B;17;11;N/A;B5;12;31;0;0;PLAIN;B;;;;;;;;;
TOG2;17;D;LN;13;8;;BT3;10;31;LN;LN;PLAIN;LN;;;;;;;;;
TOG2;17;D;LNS;10;9;1;S1;6;31;T/O;T/O;RSO;LNS;;;;;;;;;
TOG2;17;D;LNS;15;11;N/A;S1;N/A;31;LNS;LNS;RSO;LNS;CR4;S;;;;;;;
TOG2;17;D;LNS;18;14;1;S1;N/A;31;LNS;LNS;RSO;LNS;PA3;S;;;;;;;
TOG2;17;D;LN;11;8;3;N7;20;31;T/O;T/O;RSO;LN;CH;L;;;;;;;
TOG2;17;D;LNS;15;12;1;S9;24;31;LN;LN;RSO;LN;CR4;S;;;;;;;
TOG2;19;D;LNS;12;6;2;S1;13;31;LN;LN;CH;N;CR4;S;;;;;;;
TOG2;19;D;LNSM;12;9;4;N7;19;31;0;0;CR4;NSM;;;;;;;;;
TOG2;19;D;LNS;11;6;3;N7;20;31;0;L;CR4;NS;;;;;;;;;
TOG2;19;D;LNS;11;9;1;N8;N/A;31;LN;LN;CR4;S;P-R;S;;;;;;;
TOG2;19;D;LNS;26;24;3;S1;37;31;0;0;CR4;NS;;;;;;;;;
TOG2;19;D;LNS;16;6;2;XY2;16;31;0;LN;CR4;S;;;;;;;;;
TOG2;19;D;LNS;8;7;6;E90;38;31;0;0;PLAIN;LN;ROUGHENED;S;;;;;;;
TOG2;19;D;LNS;9;6;6;L2;7;31;0;0;PLAIN;LNS;;;;;;;;;
TOG2;19;D;LNS;12;8;3;L2;34;32;INT;INT;PLAIN;LN;EROD;S;;;;;;;
TOG2;19;D;LN;11;5;N/A;E;N/A;31;T/O;0;PLAIN;LN;;;;;;;;;
TOG2;19;D;LNS;10;6;2;N10;29;31;LNS;LNS;RSO;LNS;CH;S;VPR;S;;;;;
TOG2;19;D;LNS;9;5;2;S7;16;31;LNS;LNS;RSO;LNS;CH;S;VPR;S;;;;;
TOG2;19;D;LNS;12;8;2;S9;20;32;LNS;LNS;RSO;LNS;MCH;S;CR4;S;;;;;
TOG2;19;D;LN;12;4;2;N9;7;31;T/O;T/O;RSO;LN;;;;;;;;;
TOG2;19;D;LN;10;8;1;S1;31;31;T/O;T/O;RSO;LN;;;;;;;;;
TOG2;19;D;LN;13;10;1;N8;17;31;T/O;T/O;RSO;LN;;;;;;;;;
TOG2;19;D;LN;11;9;1;N8;20;31;LN;LN;RSO;LN;EROD;S;;;;;;;
TOG2;19;D;LN;11;10;6;L3;15;32;T/O;T/O;RSO;LN;CH;N;;;;;;;
TOG2;2;B;LNS;9;8;6;E90;14;31;L+INT;LN;CR2;S;;;;;;;;;
TOG2;2;B;LNS;17;11;2;XY4;24;31;0;LN;CR4;S;;;;;;;;;
TOG2;2;B;LNS;16;9;3;N12;17;31;L;LN;CR4;S;;;;;;;;;
TOG2;2;B;LNS;13;12;3;N7;14;31;0;0;CR4;NS;;;;;;;;;
TOG2;2;B;LNS;12;11;2;S13;26;31;0;0;EROD;S;;;;;;;;;
