Phase;Unit;Rim Type;Rim Angle;MxRT;MnBT;Diameter;Temper;Firing;Burnish;Slip;Motif1;Loc1;Motif2;Loc2;Motif3;Loc3;Motif4;Loc4
3;B;E57;1;11;14;26;32;9;0;T/O;PLAIN;L C N;EROD;N;;;;
3;B;S18;2;12;8;20;32;1;0;T/O;TW4;U;P B-W;N;P W-W;L N;;
3;B;S1;2;8;5;14;31;1;0;INT;TW6;N;TW12;U;;;;
3;B;S2;2;7;6;14;32;1;0;T/O;TW6;N U;;;;;;
3;B;E58;2;9;18;30;31;4;0;T/O;GRASS;L C;;;;;;
3;B;S1;2;16;19;48;32;2;0;INT;GRASS;N;CSR8;N U;CCRY;U;;
3;B;E68;2;11;6;10;32;8;L;EXT;P W-W;C;GRASS;N U;;;;
3;B;L2;6;6;6;10;31;8;0;INT;P W-W;T/O;P B-G;T/O;;;;
3;B;S2;4;16;17;;32;12;N U;INT;TW12;N U;;;;;;
3 low;B;S1;1;15;16;36;32;1;0;0;CH;N;CSR7;U;;;;
3 low;B;S1;1;7;8;10;21;13;0;0;CSR8;N U;;;;;;
3 low;B;E91;4;24;14;22;21;3;0;0;GRASS;N;TW6;U;;;;
3 low;B;E53;1;10;10;18;32;1;L;L EXT;P W-W;C;GRASS;U;;;;
3 low;B;E53;2;8;9;20;32;9;L;L EXT;P W-W;C;GRASS;U;;;;
3 low;B;E53;1;10;6;18;32;9;L;L EXT;;;;;;;;
3/4;B;S1;2;18;24;;31;10;0;0;TW4;UM;;;;;;
3/4;B;E68;1;10;7;16;32;12;L;L EXT;;;;;;;;
3 low;B;E8;2;8;9;16;32;8;0;0;GRASS;U;TW9;U;;;;
3 low;B;E52;1;13;9;15;32;1;L;L EXT;P W-W;C;GRASS;U;;;;
3 low;B;E58;1;24;15;26;32;9;0;0;TW6;U;;;;;;
3 low;B;E58;2;14;;18;32;1;0;0;;;;;;;;
3 low;B;E81;1;6;9;16;32;1;0;0;GRASS;C;TI8;N;;;;
3 low;B;E10;2;16;;26;32;4;0;0;GRASS;C;TI8;N;;;;
3 low;B;E57;2;11;10;10;32;4;0;0;PLAIN;;;;;;;
3 low;B;S1;2;10;8;24;32;9;EXT INT;EXT INT;CH;N;;;;;;
3 low;B;S2;2;8;7;12;32;4;0;0;EROD;;;;;;;
3 low;B;B9;;8;;8;32;1;EXT;EXT;GRASS;;P B-G;;;;;
3 low;B;S1;2;8;8;14;32;1;INT;EXT INT;GRASS;U;;;;;;
3 low;B;S1;11;15;16;14;32;13;0;INT;GRASS;N;CCRY;U;;;;
3 low;B;S1;2;8;10;10;32;2;0;INT;MCH;N U;CCRY;U;P R-W;N U;;
3 low;B;E3;1;12;7;12;32;8;L;L;P B-W;C N;GRASS;U;;;;
3 low;B;E53;2;15;14;18;32;2;L;L;P W-W;L C N;GRASS;U;;;;
3 low;B;S2;3;8;11;8;32;9;0;0;PLAIN;;;;;;;
3 low;B;S1;2;9;6;8;32;1;0;INT;CH;N;GRASS;U;P W-W;U;;
3 low;B;S1;1;7;7;14;32;4;L;L;GRASS;U;P W-W;U;P B-G;U;;
3 low;B;S1;4;7;8;20;32;1;0;0;GRASS;INT EXT;;;;;;
3 low;B;S1;2;13;12;26;32;3;0;0;GRASS;U;;;;;;
3 low;B;E81;2;11;9;32;32;13;0;0;GRASS;C N;;;;;;
3 low;B;S1;1;10;7;14;32;1;L;L EXT;MCH;N U;;;;;;
3 low;B;E53;1;13;8;12;32;12;L;L;P B-W;L N;P W-W;C;GRASS;N;;
3 low;B;E56;2;15;11;10;32;8;L;L;P W-W;C M;GRASS;N U;GRASS;U;CCRY;M
3 low;B;E56;2;11;6;12;32;8;L;EXT INT;P W-W;C;GRASS;N;;;;
3 low;B;E53;1;13;8;16;32;1;L;EXT INT;P W-W;C;P B-W;L N;;;;
3 low;B;S2;2;10;12;14;32;2;0;0;TW6;N;ICS1;U;;;;
3 low;B;E11;2;11;;18;32;1;0;0;;;;;;;;
3 low;B;S1;2;17;20;32;32;1;0;0;MCH;;;;;;;
3 low;B;S7;4;11;7;22;32;2;0;EXT INT;MCH;;;;;;;
3 low;B;S2;2;7;10;;32;1;L INT;EXT INT;GRASS;;;;;;;
3 low;B;E53;2;8;;18;32;1;L;L INT EXT;;;;;;;;
3 low;B;E53;2;8;;18;32;2;L INT;L INT EXT;;;;;;;;
3 low;B;E53;2;8;;18;32;;0;0;;;;;;;;
2;B;B7;;9;7;10;32;13;EXT;EXT INT;CCRY;;;;;;;
2;B;D5;3;11;12;12;32;1;0;EXT;CCRY;U M;;;;;;
2;B;S1;1;8;11;14;32;1;0;0;CCRY;N;ICS1;U;;;;
2;B;S2;4;12;6;28;32;8;0;INT;CCRY;N U;;;;;;
2;B;S1;1;9;7;10;32;1;N;N;CH;N;GRASS;N U;P W-W;U;P B-G;U
2;B;E81;2;10;7;18;32;1;0;0;EROD;U;;;;;;
2;B;E81;2;12;9;20;32;8;0;0;EROD;U;;;;;;
2;B;S1;2;10;11;24;32;8;0;0;EROD;U;GRASS;INT;;;;
2;B;E3;1;16;8;10;32;2;L INT;EXT INT;GRASS;C N;P W-W;C;;;;
2;B;S16;1;14;9;12;32;13;0;INT;GRASS;N;CSR1;U;;;;
2;B;S7;4;9;7;12;32;8;0;0;GRASS;N U;CCRY;U M;;;;
2;B;E53;1;11;13;14;32;1;L EXT;L EXT;GRASS;N U;;;;;;
2;B;E1;2;7;11;18;32;8;0;EXT INT;GRASS;C;TW7;N;;;;
2;B;E56;2;11;;18;32;9;EXT;EXT;GRASS;N U;;;;;;
2;B;E81;2;13;9;18;32;1;0;0;GRASS;C;;;;;;
2;B;S1;4;13;8;20;32;2;L;EXT INT;GRASS;N;CCRY;U;;;;
2;B;S19;1;11;11;20;32;2;INT;0;GRASS;N;TW6;U;CSR1;U;;
2;B;E5;2;20;20;26;32;8;0;0;GRASS;C;TW6;N;ICS1;U;;
2;B;S7;4;8;9;26;32;1;0;0;GRASS;N U;P W-W;N U;;;;
2;B;E81;2;20;11;28;32;4;0;L EXT;GRASS;C;TW6;N;ICS1;U;;
2;B;S1;2;14;10;34;32;13;L;INT;GRASS;N U;CSR1;U;;;;
2;B;E1;2;11;9;16;32;2;0;0;ICS1;N;;;;;;
2;B;E93;2;19;10;24;32;13;0;0;ICS1;U;;;;;;
2;B;S1;2;7;7;14;32;12;0;0;ICS3;N;CSR1;U;;;;
2;B;E52;2;18;18;46;32;8;0;INT;ICS7;N U;GRASS;L;;;;
2;B;S2;2;9;6;12;32;12;0;L INT;P B-W;N U;MCH;N U;;;;
2;B;E56;2;10;8;16;32;2;INT;L INT;P B-W;L C;CCRY;N;;;;
2;B;E56;2;9;5;16;32;1;INT;INT;P B-W;L C;P W-W;C;;;;
2;B;E53;1;10;7;22;31;9;L;L;P B-W;C N U;GRASS;N U;;;;
2;B;E56;2;10;5;26;32;2;INT;INT;P B-W;L C;P W-W;C;;;;
2;B;L1;4;9;11;24;32;1;EXT INT;INT;P W-G;N U;;;;;;
2;B;E3;1;8;7;8;32;1;L;EXT INT;P W-W;L C;;;;;;
2;B;E56;2;12;7;14;32;1;0;INT;P W-W;C N;CCRY;N U;;;;
2;B;E56;1;9;8;18;32;2;L;L;P W-W;C;GRASS;N;;;;
2;B;E56;1;10;13;18;32;1;INT;INT;P W-W;C;;;;;;
2;B;S2;1;8;11;24;32;1;0;EXT;P W-W;L;P W-G;N U;;;;
2;B;B7;;6;;7;32;8;INT;INT;PLAIN;;;;;;;
2;B;B9;;8;;8;32;4;EXT;EXT;PLAIN;;;;;;;
2;B;E11;2;8;10;8;32;12;L;L;PLAIN;;;;;;;
2;B;S1;1;7;6;10;32;1;0;EXT;PLAIN;N;CSR1;U;;;;
2;B;S1;2;9;7;10;32;1;0;0;PLAIN;;;;;;;
2;B;S19;1;10;14;20;32;8;0;0;PLAIN;;;;;;;
2;B;S1;;9;7;;32;1;0;EXT INT;PLAIN;;;;;;;
2;B;B6;;17;;8;31;9;B;B;RSO;;;;;;;
2;B;S19;1;10;6;16;32;8;0;0;TW1;U;;;;;;
2;B;E1;2;8;8;18;32;1;0;0;TW1;C N;CSR1;U;;;;
2;B;S16;2;12;8;10;32;4;0;0;TW12;N;PLAIN;U;;;;
2;B;S1;2;11;12;18;32;13;0;0;TW12;N;ICS1;U;;;;
2;B;S1;2;8;8;16;32;8;INT;0;TW4;N U;;;;;;
2;B;E2;2;15;10;18;32;9;0;0;TW4;N U;;;;;;
2;B;S1;1;7;12;20;32;12;0;0;TW4;N;ICS1;U;;;;
2;B;S1;1;11;14;24;32;2;0;0;TW4;N;EROD;U;;;;
2;B;E57;2;5;10;14;32;3;0;0;TW6;N;;;;;;
2;B;E81;2;14;;16;32;1;0;0;TW6;N U;;;;;;
2;B;S1;1;14;8;;32;13;0;L INT;TW6;U;;;;;;
2;B;S19;1;11;16;14;32;8;0;0;TW7;N;CSR7;U;ICS1;U;;
2;B;BT3;;10;14;4;32;1;INT;EXT INT;;;;;;;;
3 low;B;S2;2;20;20;42;32;12;0;0;TW6;N U;;;;;;
3 low;B;S1;1;17;17;22;32;10;0;0;CH;N;CH;N;TW6;U;;
3 low;B;B8;;10;;10;32;10;0;0;PLAIN;;;;;;;
3 low;B;D3;3;11;12;10;31;8;0;0;PLAIN;;;;;;;
3 low;B;E93;2;19;11;14;32;1;0;0;TW6;N U;;;;;;
3 low;B;E53;1;10;10;10;32;1;L;L;P W-W;C;P R-W;U;GRASS;U;;
3 low;B;S16;2;100;8;12;32;8;0;0;TW4;N;ICS1;U;;;;
3 low;B;S19;2;9;8;16;32;1;0;0;TW6;N U;ICS1;U;;;;
2;B;E3;1;15;7;10;32;1;0;L N;CCRY;N U;;;;;;
2;B;S2;2;8;8;18;32;1;0;0;CSR6;U;;;;;;
2;B;S2;2;9;7;10;32;1;INT;L INT;GRASS;N U;;;;;;
2;B;S1;3;18;12;22;32;8;0;0;MCH;N;CCRY;U;;;;
2;B;E56;1;12;9;20;32;4;INT;INT;P B-W;L N;P W-W;C;GRASS;N;;
2;B;E56;1;14;8;16;32;1;INT;L INT;P R-W;C;P W-W;N;;;;
2;B;E56;2;12;7;16;32;10;INT;L INT;P W-G;C N;P B-G;N;;;;
2;B;E59;1;15;8;10;32;13;0;L C;P W-W;N;P R-W;U;GRASS;U;;
2;B;E68;1;15;10;12;32;1;0;L INT;P W-W;N;P B-W;U;GRASS;U;;
2;B;E56;2;11;13;28;32;1;INT;INT;P W-W;C;;;;;;
2;B;E69;2;11;11;;32;1;0;L INT;P W-W;N;;;;;;
2;B;E56;1;8;9;24;32;8;0;INT;PLAIN;;;;;;;
2;B;E1;2;10;10;;32;;INT;INT;PLAIN;;;;;;;
2;B;E2;;9;11;;32;12;0;0;TW1;U;ICS7;U;;;;
2;B;S1;3;9;9;12;32;1;0;0;TW4;N U;;;;;;
2;B;S1;1;11;8;20;32;1;0;0;TW4;N U;;;;;;
2;B;E71;1;13;10;30;32;13;L;0;TW6;U;;;;;;
2;B;S16;3;20;6;32;32;8;0;0;TW6;U;;;;;;
2;B;E81;;10;14;;32;12;0;0;TW6;;;;;;;
2;B;S2;1;8;10;;32;10;0;0;TW6;N;;;;;;
2;B;S1;1;11;8;12;32;4;0;0;TW7;N;ICS2;U;;;;
2;B;E56;2;10;9;20;32;8;0;L;;;;;;;;
2;B;S2;1;8;11;20;32;8;0;L;;;;;;;;
2;B;B8;;;;;32;3;0;0;;;;;;;;
2;B;E69;2;;;;;;;INT;;;;;;;;
2;B;S1;2;17;12;42;32;1;0;EXT;MCH;N;CCRY;U;;;;
2;B;E56;2;12;10;18;32;1;INT;INT;P B-W;C;;;;;;
2;B;E56;2;12;9;14;32;1;INT;L INT;P W-W;N;;;;;;
2;B;E3;1;19;8;18;32;8;0;L;P W-W;C;P R-W;N;CCRY;U;;
2;B;E69;1;10;10;18;32;1;INT;INT;P W-W;N;;;;;;
2;B;E69;;10;9;;32;1;INT;INT;P W-W;N;;;;;;
2;B;E7;2;10;9;;32;1;L INT;L INT;P W-W;N;;;;;;
2;B;E56;1;11;6;12;32;1;0;0;PLAIN;;;;;;;
2;B;E56;1;14;7;14;32;10;0;L INT;PLAIN;U;;;;;;
2;B;E56;1;10;10;16;32;8;0;L INT;PLAIN;;;;;;;
2;B;E56;1;12;6;18;32;1;INT;INT;PLAIN;;;;;;;
2;B;E57;2;6;11;26;32;4;0;0;PLAIN;;;;;;;
2;B;E70;;18;7;;32;8;INT;0;PLAIN;;;;;;;
2;B;S2;2;11;8;16;32;1;0;0;TW4;M;ICS4;N U;;;;
2;B;S1;1;12;9;;32;1;0;0;TW4;U;;;;;;
2;B;S2;2;10;11;;32;13;0;0;TW4;N U;;;;;;
2;B;S1;2;9;8;20;32;1;0;0;TW7;U;;;;;;
2;B;S2;1;8;9;20;32;4;0;0;TW7;N;TW4;N;ICS1;U;;
2;B;E52;2;20;7;10;32;3;INT;L;P R-G;L;P W-W;N;GRASS;N;;
2;B;E81;2;17;10;6;32;1;INT;L INT;P W-W;N;GRASS;N;P B-W;U;;
2;B;E53;1;12;7;16;32;1;0;L;P W-W;N;P R-W;U;GRASS;U;CCRY;U M
2;B;S1;1;19;18;40;32;4;INT;0;PLAIN;N;CSR6;U;;;;
2;B;S1;1;14;12;;32;8;0;0;PLAIN;;;;;;;
2;B;S1;3;8;8;20;32;1;INT;0;TI8;N;EROD;U;;;;
2;B;S19;1;8;6;22;32;1;0;0;TW1;N U;GRASS;N U;ICS1;U;;
2;B;S1;3;10;9;;32;1;0;0;TW4;N;EROD;U;;;;
2;B;S1;2;20;22;38;32;9;0;0;CH;N;CCRY;U;;;;
2;B;S2;2;12;13;12;32;10;EXT INT;EXT INT;GRASS;N;P W-W;N;;;;
2;B;B7;;6;;12;32;13;0;0;PLAIN;;;;;;;
2;B;E2;2;9;;16;32;10;0;0;PLAIN;;;;;;;
2;B;E56;2;11;;;32;1;L;L;PLAIN;;;;;;;
2;B;S2;3;8;8;16;32;10;0;0;TW6;N U;;;;;;
2;B;S1;4;9;9;20;32;1;0;0;TW6;N U;;;;;;
2;B;S1;2;7;8;10;31;10;0;0;TW7;N;ICS1;U;;;;
2;B;S19;2;8;10;14;32;1;0;0;PLAIN;;;;;;;
2;B;S1;2;8;6;20;32;4;L INT;EXT INT;CH;N;GRASS;N U;P R-W;N U;;
2;B;S19;2;9;9;16;32;1;0;0;GRASS;N;ICS1;U;CH;L;;
2;B;S1;2;8;8;18;32;8;0;EXT INT;GRASS;N;;;;;;
2;B;E1;2;10;7;;32;1;0;EXT INT;GRASS;C;TW12;N;ICS1;U;;
2;B;S1;1;9;9;19;32;1;0;L INT;ICS6;N;EROD;U;;;;
2;B;E3;2;11;;18;32;2;0;L;PLAIN;;;;;;;
2;B;S1;2;9;11;22;32;2;INT;0;TW4;N U;;;;;;
2;B;E56;2;9;6;20;32;1;L INT;EXT INT;P B-W;L;P W-W;C;;;;
1/2;B;E90;;10;11;40;32;13;0;E;CCRY;;;;;;;
1/2;B;S2;4;4;4;20;32;8;0;L INT;CSR6;N U;;;;;;
1/2;B;S2;1;11;10;10;32;1;0;0;CSR7;N U;;;;;;
1/2;B;B8;;9;;10;32;8;EXT;EXT INT;EROD;;;;;;;
1/2;B;S2;2;8;6;12;32;1;L INT;L INT;GRASS;N U;;;;;;
1/2;B;S2;2;10;7;14;32;1;L;L EXT;GRASS;N U;;;;;;
1/2;B;S2;2;10;7;16;32;1;L EXT;0;GRASS;N U;;;;;;
1/2;B;S18;2;13;15;26;32;2;L;L;GRASS;N U;CCRY;U;;;;
1/2;B;E56;2;9;11;20;32;12;INT;EXT INT;P B-W;L;P W-W;C;;;;
1/2;B;E70;1;13;;24;32;1;INT;EXT INT;P B-W;L;P W-W;C;;;;
1/2;B;B8;;8;;8;32;8;0;EXT INT;PLAIN;;;;;;;
1/2;B;S1;1;9;9;;32;8;0;0;PLAIN;N;EROD;U;;;;
1/2;B;S2;2;8;7;10;32;1;0;0;TW6;N U;;;;;;
1/2;B;S1;2;9;8;18;32;1;0;EXT INT;TW6;N;EROD;U;;;;
1/2;B;S2;1;14;10;30;32;2;0;0;TW6;N;EROD;U;;;;
1/2;B;S1;2;9;8;22;32;13;0;EXT INT;TW6;N;ICS1;U;;;;
1;B;S1;;14;16;;32;9;0;INT;CH;N;CCRY;U M;;;;
1;B;S1;4;7;8;16;32;3;0;INT;CSR6;N U;;;;;;
1;B;E93;2;10;9;14;32;13;0;L EXT;GRASS;C;TW6;N;;;;
1;B;S1;2;7;9;14;32;3;0;0;GRASS;N;TW12;N;EROD;U;;
1;B;S2;2;10;9;14;32;2;0;INT;GRASS;N U M;P W-W;N U;P B-W;N U;CCRY;M
1;B;E57;2;11;12;16;32;8;0;0;GRASS;C;TW12;N;;;;
1;B;E93;2;11;10;16;32;13;0;E;GRASS;C;TW6;N;;;;
1;B;E93;2;12;7;16;32;8;0;0;GRASS;C;TW6;N U;;;;
1;B;S1;1;8;10;16;32;3;L INT;EXT INT;GRASS;N;P B-W;N;;;;
1;B;S1;1;9;9;18;32;3;L INT;EXT INT;GRASS;N U;;;;;;
1;B;S1;2;9;9;18;32;10;L INT;EXT INT;GRASS;N U;;;;;;
1;B;E1;2;5;;20;32;8;0;0;GRASS;C;;;;;;
1;B;S1;2;9;8;20;32;2;L INT;EXT INT;GRASS;N;P R-W;N U;;;;
1;B;S1;2;11;12;24;32;2;L INT;EXT INT;GRASS;N U;P R-W;N U;;;;
1;B;E57;2;15;15;30;32;3;0;0;GRASS;C;TW6;N;;;;
1;B;S1;2;10;16;36;32;3;L INT;L;GRASS;N U;P B-W;N U;;;;
1;B;S2;2;9;7;18;32;1;0;0;MCH;N U;;;;;;
1;B;E52;1;14;12;8;32;1;L;L;P B-W;L;P W-W;C;;;;
1;B;E56;2;10;7;12;32;1;L;L;P B-W;L C;;;;;;
1;B;E56;;19;;12;32;3;L;L;P B-W;L;P W-W;C;;;;
1;B;E56;2;12;9;14;32;3;L INT;L INT;P B-W;L;P W-W;C;;;;
1;B;E68;1;9;9;16;32;4;L;L EXT;P B-W;L N;P W-W;C N;GRASS;N;;
1;B;E68;1;11;6;16;32;4;L;L EXT;P B-W;L N;P W-W;C N;GRASS;N;;
1;B;E68;1;14;6;16;32;8;L;L;P B-W;C;;;;;;
1;B;S1;;5;8;16;32;13;0;EXT INT;P B-W;L;P B-G;N U;CSR7;N U;;
1;B;E59;2;11;10;20;32;1;L INT;L INT;P B-W;L;P W-W;C;;;;
1;B;E68;1;12;10;14;32;1;L;L EXT;P R-W;L;P W-W;C N;P B-W;N U;GRASS;N U
1;B;E56;2;9;5;;32;12;L;L;P R-W;L;P W-W;C;;;;
1;B;E52;1;12;9;16;32;2;L;L EXT;P W-W;C;;;;;;
1;B;F7;;6;;4;32;13;0;EXT;PLAIN;;;;;;;
1;B;B7;;7;7;10;32;2;INT;EXT INT;PLAIN;;;;;;;
1;B;E1;2;5;;16;32;8;EXT INT;0;PLAIN;;;;;;;
1;B;S5;2;7;5;20;32;12;EXT INT;EXT INT;RSO;U N;;;;;;
1;B;S2;2;9;7;14;32;1;0;L INT;TW1;N;;;;;;
1;B;B6;;11;9;8;32;1;0;0;TW4;B;;;;;;
1;B;S1;2;9;9;0;32;8;0;0;TW6;N;EROD;U;;;;
1;B;E93;2;10;8;10;32;8;0;0;TW6;N U;;;;;;
1;B;E93;2;12;7;14;32;13;0;0;TW6;N U;;;;;;
1;B;E93;2;14;10;14;32;8;0;0;TW6;N;;;;;;
1;B;E93;2;11;8;16;32;4;0;EXT;TW6;N U;;;;;;
1;B;S2;2;9;7;18;32;10;INT;0;TW6;N;EROD;U;;;;
1;B;E57;2;13;16;26;32;3;0;0;TW6;N;;;;;;
1;B;S1;2;4;9;;32;8;0;EXT INT;TW6;U;;;;;;
1;B;S1;1;10;10;10;32;3;L;0;TW7;N;ICS1;U;;;;
1;B;S1;1;12;10;10;32;13;0;INT;TW7;N;ICS1;N U;;;;
1;B;S1;1;9;8;14;32;3;L INT;0;TW7;N;ICS1;U;;;;
1;B;S1;1;9;8;14;32;1;L;0;TW7;N;ICS1;U;;;;
1;B;S1;1;11;10;;32;3;0;0;TW7;N;TI1;N;ICS1;U;;
1;B;S1;;10;10;;32;8;0;0;TW7;N;ICS1;U;;;;
1;B;E57;2;14;10;18;32;13;0;0;TW6;N U;;;;;;
1;B;E80;2;13;16;14;32;32;0;0;CCRY;U;;;;;;
1;B;E3;1;13;11;16;32;10;0;0;CCRY;N U;;;;;;
1;B;E5;2;14;18;20;32;10;L;L;CCRY;N U;;;;;;
1;B;E56;2;12;11;18;32;12;C;L;CSR1;N U;;;;;;
1;B;S1;2;12;11;24;32;12;L INT;L INT;CSR7;U;;;;;;
1;B;S18;2;10;9;14;32;9;L INT;L INT;GRASS;N U;;;;;;
1;B;E53;1;9;11;12;32;9;L;L;MCH;N U;P R-W;N U;;;;
1;B;S2;2;9;8;12;32;12;0;0;MCH;N U;;;;;;
1;B;S1;2;14;14;28;32;1;0;0;MCH;U;CCRY;U M;;;;
1;B;S2;1;11;11;12;32;13;0;0;P R-W;N U;GRASS;N;CSR7;U;;
1;B;S2;3;11;10;16;32;10;L INT;L INT;P R-W;N U;GRASS;N U;;;;
1;B;S1;3;10;8;26;32;1;L INT;L INT;P R-W;N U;GRASS;N U;CCRY;U M;;
1;B;S1;2;15;14;30;32;9;0;0;P R-W;EXT;MCH;N U;CCRY;U M;;
1;B;F4;;10;;IRREG;32;10;;;P R-W;;P W-G;;;;;
1;B;E68;2;10;7;8;32;1;L;L;P W-W;C;TW6;N U;;;;
1;B;E68;2;12;8;8;32;1;L;L;P W-W;C;TW6;N U;;;;
1;B;E68;2;13;7;10;32;9;L;L;P W-W;C;TW6;U;;;;
1;B;E68;2;10;8;10;32;9;L;L;P W-W;C;;;;;;
1;B;E3;2;10;11;14;32;1;L;L;P W-W;C;CCRY;N U;;;;
1;B;B6;;15;;8;32;1;0;0;PLAIN;;;;;;;
1;B;Footed Bowl;;12;;8;32;8;0;0;PLAIN;;;;;;;
1;B;E92;;13;;12;32;9;0;0;PLAIN;;;;;;;
1;B;E57;2;9;12;14;32;9;0;0;PLAIN;;;;;;;
1;B;S9;2;9;12;30;42;1;0;0;PLAIN;;;;;;;
1;B;S2;2;8;5;12;32;1;T/O;T/O;RSO;;;;;;;
1;B;E3;2;11;12;6;21;1;0;0;TW13;N U;CSR1;U M;;;;
1;B;S2;3;12;7;6;21;1;0;0;TW4;N U;ICS1;U M;;;;
1;B;S2;2;12;8;8;21;1;0;0;TW4;N;ICS1;U M;;;;
1;B;S1;3;6;8;14;32;10;0;0;TW4;N;ICS1;N U M B;;;;
1;B;Footed Bowl;;13;;8;32;1;INT;INT;TW6;M;;;;;;
1;B;E4;1;10;9;10;32;9;0;0;TW6;U;;;;;;
1;B;E57;2;10;7;10;21;10;0;0;TW6;U;;;;;;
1;B;S2;3;8;9;14;21;1;0;0;TW6;N;ICS1;U M;;;;
1;B;E57;2;13;10;16;32;1;0;0;TW6;C;ICS1;U;;;;
1;B;E81;2;13;;18;32;1;0;0;TW6;U;;;;;;
1;B;E57;2;16;18;28;32;9;0;0;TW6;U;;;;;;
1;B;S11;2;11;8;;21;1;0;0;TW6;N U;;;;;;
