Phase;Unit;Rim Type;Rim Angle;MxRT;MnBT;Diameter;Temper;Firing;Burnish;Slip;Motif1;Loc1;Motif2;Loc2;Motif3;Loc3;Motif4;Loc4
5 low;A;S1;3;7;6;10;32;1;0;0;TI1;N;;;;;;
5 low;A;BT1;4;8;7;8;32;10;0;0;TW4;N;P R-G;N U;P W-G;N U;GRASS;L
5 low;A;S1;2;14;8;30;44;3;0;L R C;TW6;U;CH;N;P W-G;N U;;
5 low;A;S2;2;8;8;22;31;8;0;INT;TW6;N;ICS1;U M;;;;
5 low;A;E56;2;10;8;24;32;12;L;L;P B-W;L;;;;;;
5 low;A;S10;1;14;8;18;32;1;0;0;DC2;U M;P B-G;N U;P W-W;N U;GRASS;N U
5 low;A;E52;1;11;10;20;31;8;0;L R C;DC2;N U;P B-W;N U;;;;
5 low;A;E3;1;11;8;10;31;1;0;EXT;EROD;C;;;;;;
5 low;A;E52;2;11;11;;32;9;0;EXT;PLAIN;C;;;;;;
5 low;A;S1;3;25;20;50;31;1;0;0;TW4;U;CH;N;;;;
5 low;A;E3;1;9;6;12;32;12;0;INT;EROD;C;PLAIN;;;;;
5 low;A;S2;3;14;13;38;32;13;0;0;CH;N;CCRY;N U;;;;
5 low;A;E52;2;7;7;18;31;1;N;L C N;DC2;;PLAIN;;;;;
5 low;A;S1;2;17;9;36;32;12;0;0;GRASS;N;CSR1;N U;CCRY;U;;
5 low;A;E53;2;11;7;18;31;1;L;L;GRASS;N;TW6;U;;;;
5 low;A;E56;2;11;8;14;31;13;L;L;GRASS;C N;DC2;U;P W-G;C N;;
5 low;A;E68;1;13;10;20;31;1;L;L;GRASS;N U;P W-G;N C;TW4;U M;;
5 low;A;S1;2;8;6;10;31;1;0;0;TW4;L N;ICS1;U;;;;
5 low;A;E52;1;11;11;26;31;1;L;L;DC2;N U;;;;;;
5 low;A;S2;4;13;13;48;32;1;0;0;GRASS;L;EROD;U;;;;
5 low;A;S2;4;7;7;14;31;1;0;0;GRASS;L;TW6;U;;;;
5 low;A;E63;1;10;12;24;31;1;L;L;GRASS;N U;;;;;;
5 low;A;E52;2;10;8;18;31;1;0;L N U;TW4;U;GRASS;N;P W-G;N;;
4/5;A;S1;2;15;13;34;31;9;0;0;CCRX;U;;;;;;
4/5;A;S1;1;18;16;20;31;10;0;0;CCRY;U;SI1;N;;;;
4/5;A;S1;2;10;13;26;31;13;0;0;CCRY;U;;;;;;
4/5;A;S2;3;13;13;42;32;1;0;0;CCRY;U;;;;;;
4/5;A;E52;2;10;9;16;31;10;L;L;GRASS;C N U;CSR1;U M;P B-G;N;;
4/5;A;E68;1;15;8;14;32;1;0;L;GRASS;U;P W-G;N;;;;
4/5;A;E56;1;10;8;8;32;9;0;0;GRASS;N U;;;;;;
4/5;A;E58;1;9;16;8;32;10;0;0;;;;;;;;
4/5;A;E68;2;13;7;12;31;12;0;L;GRASS;N;P W-G;N;;;;
4/5;A;E3;1;12;8;12;44;8;0;L;GRASS;U;;;;;;
4/5;A;E58;2;8;18;18;32;1;0;EXT;GRASS;N;;;;;;
4/5;A;E68;2;11;10;16;32;1;0;INT EXT;GRASS;U;;;;;;
4/5;A;S4;2;7;4;10;31;1;INT EXT;INT EXT;GRASS;N;;;;;;
4/5;A;E58;;9;10;14;44;3;0;0;GRASS;N;;;;;;
4/5;A;S2;2;6;8;12;44;13;0;0;ICS1;N U;;;;;;
4/5;A;S1;1;7;7;10;44;3;EXT;EXT;PLAIN;N;;;;;;
4;A;E53;1;11;10;20;31;1;0;INT;GRASS;C N U;P R-G;;;;;
4/5;A;S9;2;12;11;;31;13;L;0;CH;N;TW6;U;;;;
4/5;A;E68;1;10;6;18;31;1;L;L;CSR7;U;P W-W;U;;;;
4/5;A;E52;1;9;9;8;31;1;0;L;GRASS;N U;P W-W;U;;;;
4/5;A;F5;;;;0,5;31;;0;0;P W-W;;;;;;;
4/5;A;E81;1;8;9;10;31;1;L C N;L C N;;;;;;;;
4;A;S1;2;7;6;8;31;1;INT EXT;INT EXT;CH;N;P W-W;N U;;;;
4;A;E68;1;10;8;10;31;4;0;INT EXT;GRASS;U;;;;;;
4;A;S1;4;11;6;20;31;4;L;L;GRASS;N U;P B-W;N U;;;;
4;A;E52;1;11;8;8;31;1;L;L EXT;P B-W;R U;GRASS;N U;CSR7;U;;
4;A;B2;;;;8;31;1;0;0;PLAIN;;;;;;;
